epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,394.773,1.34308,2.03721,1.35619,0.26817,0.30141,0.18344,0.05684,2.2568,2.49013,1.90997,0.00998808,0.00332936,0.00998808,0.00332936,0.00998808,0.00332936,0.00998808,0.00332936
2,759.439,1.17708,1.37971,1.22942,0.30823,0.30145,0.22191,0.07143,2.24117,2.44565,1.93785,0.0195923,0.00653077,0.0195923,0.00653077,0.0195923,0.00653077,0.0195923,0.00653077
3,1111.78,1.20036,1.31002,1.24957,0.22391,0.28786,0.1574,0.0485,2.37868,2.48033,2.00401,0.0288006,0.00960018,0.0288006,0.00960018,0.0288006,0.00960018,0.0288006,0.00960018
4,1457.11,1.17098,1.24066,1.24402,0.26612,0.29985,0.19415,0.06468,2.28393,2.41721,1.97221,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1803.96,1.12804,1.16217,1.22481,0.27143,0.29283,0.19629,0.06513,2.25138,2.33748,1.98638,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2152.32,1.08961,1.09404,1.20362,0.37454,0.33789,0.28591,0.10062,2.20494,2.16212,1.90271,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2502.85,1.06433,1.05372,1.19291,0.39437,0.34916,0.31258,0.10998,2.13221,2.15221,1.87516,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2853.02,1.04672,1.02294,1.17917,0.40278,0.37838,0.33426,0.11942,2.13008,2.08549,1.83053,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3196.35,1.02845,0.99639,1.16598,0.39354,0.36852,0.33348,0.12085,2.14407,2.06052,1.83768,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3529.8,1.0152,0.96784,1.16076,0.43795,0.38107,0.37063,0.13433,2.09178,2.02153,1.83939,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3861.98,1.00649,0.95296,1.1567,0.41338,0.40916,0.37457,0.13899,2.12211,1.96452,1.82228,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4193.95,0.99407,0.9449,1.15382,0.42058,0.40118,0.37442,0.14193,2.08991,1.97208,1.80848,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,352.155,0.98809,0.92498,1.14335,0.44456,0.42315,0.39617,0.14781,2.06688,1.93402,1.78174,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,700.245,0.97795,0.90439,1.13833,0.4373,0.44091,0.40312,0.15014,2.08139,1.8809,1.78459,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,1034.99,0.97694,0.89488,1.13701,0.44943,0.41869,0.39655,0.14825,2.07977,1.90362,1.78007,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,1365.64,0.95498,0.86932,1.12559,0.4371,0.43809,0.41582,0.15593,2.05525,1.88991,1.77969,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
